Angle,Power_Level,Beam_0,Beam_1,Beam_2,Beam_3,Beam_4,Beam_5,Beam_6,Beam_7,Beam_8,Beam_9,Beam_10,Beam_11,Beam_12,Beam_13,Beam_14,Beam_15,Beam_16,Beam_17,Beam_18,Beam_19,Beam_20,Beam_21,Beam_22,Beam_23,Beam_24,Beam_25,Beam_26,Beam_27,Beam_28,Beam_29,Beam_30,Beam_31,Beam_32,Beam_33,Beam_34,Beam_35,Beam_36,Beam_37,Beam_38,Beam_39,Beam_40,Beam_41,Beam_42,Beam_43,Beam_44,Beam_45,Beam_46,Beam_47,Beam_48,Beam_49,Beam_50,Beam_51,Beam_52,Beam_53,Beam_54,Beam_55,Beam_56,Beam_57,Beam_58,Beam_59,Beam_60,Beam_61,Beam_62
-35.0,800,12394.092024177826,12539.589685358202,14552.952144199762,15796.354619615739,17226.501479078277,15535.280013182337,16705.10972256236,20102.66454124285,18994.3413762758,20673.83321845263,18480.339520873134,14732.106184372355,13193.640068323373,12449.822857877869,11300.478927848577,12536.75375621958,13040.798121691389,13058.845147444781,11915.885629346025,13617.426256160525,13081.93914659405,14349.33970459487,13468.781481417207,10943.86130086511,13378.627562195006,13069.155940151073,14666.611651717583,10934.057088680425,12534.392805631942,13758.276401590483,12832.092690796231,13286.832583696294,11308.389052548597,11451.449411798858,14002.700898187852,13275.062862426446,12430.633346338796,12568.898792228922,11294.283412933712,12132.685912635274,12957.675964320983,13263.635637785057,13527.516878256736,13595.31850145323,11925.85984751585,12559.777239040775,12892.612523561087,13910.315802089499,12115.534357195935,13002.916117367167,11722.96920090766,11214.894993479047,12041.291099442537,14243.031587316076,13925.030544429117,12430.329309448627,11285.5036871556,12310.204977138497,13197.692280183328,11773.301587412057,12727.598272982195,12051.017549278024,10320.26245426468
-34.0,800,14571.44985139876,12265.766415801834,12640.274523684615,14377.067357000582,15475.906060791827,15956.11784503878,17117.414572246515,20915.62389013181,18320.975447823574,19797.737737914307,17772.402931979857,16592.988438081436,13959.75095968815,11616.837283941857,13115.235635423802,12454.554075709182,13642.983100436173,12841.983608045623,13055.683007503061,11918.524353719193,13888.146392376097,12954.751814784133,13264.711683699692,13577.840782270527,12522.640581237056,13682.735749340527,12643.792746140887,13319.349891623438,12865.197596777829,13944.602465050133,11284.297914350489,12996.345377825657,12215.191285695044,12420.032580312436,13578.97549451019,14508.06511204087,13790.92785289831,11532.58922435203,13072.223189613507,12113.27816091503,11691.609074703883,12494.917181393213,11278.903279329536,13263.007789777037,13414.892124335815,12176.329809724852,12888.935705624124,12781.270382749894,11727.705437158862,12670.023190261174,12011.276208298881,11169.021495114217,12839.463034805387,12850.455355003765,12679.12618846496,12856.059465001628,12855.354870461171,11543.57994083136,13249.280693856099,12193.341200390792,11603.415444166143,12707.042787487804,13314.957245975616
-33.0,800,14103.219202543309,13472.410879267898,12370.967785257584,12926.514554639618,15431.581148570038,14740.365983458028,15960.236305974082,21281.366598573026,17105.622526832758,18519.195175158617,19199.69852409867,16002.088508336654,13433.146744117705,14777.52715936327,11144.71154156183,13274.495902422786,13441.617752538417,12727.334155604647,13345.024876763919,13571.731957840691,14561.922457167562,11976.819408826406,13238.256650689455,12866.609605488638,12541.996119996431,11813.128555910997,11395.381108338086,11812.525983030737,13585.614279059857,12128.309983728026,12818.388515946359,11887.995396988796,13256.338891933985,12958.002139060969,13146.402804997639,12700.334257104114,13563.862876492307,12932.017366254495,12373.830169976663,10960.899292389078,12216.219187787323,13132.64506864653,13838.951168967642,12982.625524212692,14126.803196717165,11106.582066612671,13140.032579472661,13834.194638659961,12608.306670351687,13383.529086592902,12334.505530482731,12194.29371672092,12005.69762041428,12636.69978551158,10701.54396381388,12630.973830613699,12589.812991942385,12763.121209561035,12665.301772085035,10785.456336996767,11407.422502716574,11398.846723660408,12704.884498286287
-32.0,800,13286.413823038027,14725.685142034878,12735.053853896938,13592.364334989956,13485.580901427224,14344.495007608166,14152.780495759918,17385.496035400723,15872.90945042682,18223.643073324292,19808.76075320565,17198.42664335862,14711.975775077028,14337.660968130209,10709.78436360547,13667.634645431484,13427.5125504844,11643.324028043293,12011.218011490635,12125.870554025607,13821.634315329637,13500.172822547056,12561.456857944513,10966.73388831486,12578.565502628406,13176.328489456608,12801.119157538567,11996.515729269384,13443.968927663684,14748.520616286893,10910.49092054253,11658.747468354251,13173.005423865005,12183.148728410471,12557.53594237809,13031.456585228685,14370.029250505735,12233.887703774346,13114.044664503606,13207.148703359893,13174.474045913006,11108.244299832646,13163.23491932845,13836.911270906634,13083.048765999483,13934.989255249153,13177.977455477292,12612.748918235335,12462.863940499801,12941.6445377227,11806.352794142824,11745.868221692117,12483.001992851992,12040.657965014192,13031.959129802666,13765.547853622493,12501.001836981419,11495.556284637705,13177.952373436234,14167.279391350785,12913.960406499129,13202.228990824613,12400.188000189415
-31.0,800,12053.261462329488,13584.316979790985,13080.704177136127,11889.47846687157,13600.067036477809,13789.200610515658,15451.678710706743,17769.14051472088,14655.463368941604,15794.34159161088,19316.004389892663,19335.00041443914,17020.2248472155,15718.758620860122,15305.894148427491,12825.267227723147,12445.18807331607,12947.331437316328,14176.091494752744,13342.964278959407,12570.882088412845,12696.438786980772,14118.442521517281,13039.472210753884,12373.146535499736,13997.458176401044,11795.48834153541,13746.499238339618,11524.603140453613,12300.002098347142,13067.758704580527,12266.480995466638,13119.226718115555,13406.55929407478,13338.635595463918,12040.115846436054,12737.71759828926,12083.354084346496,13543.675806740232,12398.691046402451,13118.137375213144,13062.161905604351,13507.025542837288,13119.151810459403,13230.541142426058,13670.049315646687,12019.721046769895,11786.542031927143,11369.563727854811,12716.127574539407,13198.726560560608,13397.270734770787,12131.68159544008,12726.347966589252,11912.218744723372,12974.882374164004,12016.687875621183,12298.59686328508,14000.53923947165,12861.470099879347,12095.378973242096,12630.664028950145,12575.956077652334
-30.0,800,13399.008034289667,14165.778672098573,13440.792160598605,13732.607108145177,13807.938044856859,13028.048142823276,13230.792822496456,15328.034361371996,14381.167835332802,17152.826587732572,18484.964518000004,19386.779421363557,17196.932321825076,14887.043025974712,15058.378015046841,13483.929059202164,12473.010877277076,12959.573602369737,12134.527107946276,12392.660004004287,12410.44666235841,12383.385227891362,12509.149201547862,11735.363425484527,12147.465853179145,12963.424287961569,12913.978349372688,13042.599187997483,11783.0170229854,13283.08214513451,12647.370232077319,11402.281539994214,11875.407225148498,11300.250719804273,13895.519381282467,12787.891763572485,12657.542162501635,13810.202163471005,13860.648273322053,10160.411610480627,12244.990633131794,11659.993281548008,11644.697191021249,14062.003943349535,12952.907322175293,12334.794887747634,14494.277764086191,13276.54258394922,11360.444317574656,12445.955102104583,11799.313854760441,12591.308598707352,12115.858670847367,12558.499336164794,11873.058171575445,13475.451536501785,11547.279752109258,12469.107238102904,12138.547537145323,12773.66125244443,12783.1437209603,11414.268418208569,11853.574972540975
-29.0,800,12811.07911071611,12467.88198289877,14367.705094187113,12510.171537327431,12712.349782824886,12624.390671292027,14325.758406752213,14716.335139144438,14103.223108539989,16246.615035589513,17696.861410457754,20568.703919220803,17945.146075656612,15664.701555084388,16079.664339317771,14229.303215308124,14710.968869196235,14673.035093180866,14206.966729583648,12725.958094729629,12485.7270282693,12108.852426717789,12311.917715479693,12191.087748974564,13748.78557049104,14111.503213556038,11826.732297923523,12504.0317676488,12572.506535142353,12348.347857805333,12696.331025690037,13593.15343035886,11899.443330958016,11883.215698890906,13628.884715373548,13957.627905770225,13108.39324509424,12753.04743813962,12219.373563006986,12179.194720423038,13386.291638301787,12576.925080829444,12670.664077398267,13736.59734473526,12233.094353503358,11764.709151786545,9980.401715935992,11599.233006281629,12414.643425652903,13114.50645280735,13080.347416338465,12634.364770925955,10788.840449725221,12121.580150957934,12573.032268124183,14101.670077526662,11886.073722509629,12741.033476417817,12611.331334455579,12503.018899068717,12145.074798145297,11997.511872620711,13340.793751760897
-28.0,800,12607.272129239118,14120.665953656175,13332.917528607742,14029.585067787359,12308.597973178083,13270.557747822853,12619.517479693914,13478.161162016955,11301.526545035329,14692.84569350525,17264.288243914478,16427.308125590876,18835.90980235421,16523.49949029471,16673.525270785172,14448.008007915461,16083.397481464057,12783.234042871583,13046.702857588247,13270.44935591534,11235.532450082632,13044.342595699623,13447.660746631685,14040.21737348926,14393.452395252552,12316.076723136328,14297.026024115432,10930.176557641618,12903.819009515317,13271.98090577789,12382.562583922034,13032.690230026967,11185.034376317615,11446.663502020405,13991.766808581895,13851.157609664438,13611.010836185747,13573.77745556665,13328.686987105764,12556.213725035002,11311.033632431678,12470.618485970588,12195.593357113796,11733.409150096093,11805.369842400529,12852.62285685157,10475.89520527822,13182.895826938611,11810.339558470105,12073.278552898379,13364.634302322815,13721.648299223496,13044.41443406587,13004.405003829344,11444.077932010416,13655.752533044626,10823.56520173218,11757.426959937271,11613.586634142635,11946.82918827639,12996.161317524828,12255.692938248425,12531.74536102387
-27.0,800,15532.390494471665,16904.9733832005,15550.865506559412,15590.303267479814,14447.053181272291,15230.150518978666,14870.896479747653,14055.077326547038,15010.712846927345,17554.219829978047,20884.236939997132,23179.922911450245,27083.171665205027,25877.317286841044,23255.211813213067,21261.83843303944,19980.091503004864,17395.652934912112,15879.859286601297,14347.939394013107,14558.511130552788,14757.215027524566,15873.705693932416,16744.43532990135,15227.938203981274,15838.24044990479,17269.762593071653,14287.141687048384,16222.67588416902,16481.51876209956,14894.37133732313,14604.78572034736,14896.815192532886,13994.436531016338,15227.461854352629,15257.498353315628,16431.938154960913,15278.178377841181,16434.933048360628,13983.896243064795,13988.7967776557,14991.497434447703,14984.619708015147,14186.653456452252,16067.778760036927,15638.628600317164,14334.747953354155,13056.010825846586,16008.841039566281,13808.292131588543,13952.704266696677,16372.83137328507,15247.407130030764,15607.744052289421,16807.136615426996,14365.258591678506,14484.470040958817,12819.863197582337,14287.392628170548,15634.31939960955,15851.887389540145,16216.299246630355,15541.794885693356
-26.0,800,15188.559555174172,15484.80003182056,16201.535213846,15563.081971298474,12816.07306413007,15734.090044951283,14110.061257354715,15207.571369810381,13037.168200524735,15336.365713671627,18267.027688156846,17631.460902362083,23930.94716799819,22882.748616073877,20972.85086437664,21459.996448207865,21097.87644324307,17870.885060617686,15683.449780753423,15560.21205005972,14463.44360640403,14481.445592892711,14780.378826454162,13835.516845213586,14251.721550160713,15322.003340280744,15590.746411356053,13447.077391870056,12869.58676625192,15206.606127104184,14494.545367883542,13627.513675324268,14070.020238718316,16259.853883776042,11958.984867240655,15966.70501976177,15410.389028938804,13201.689250095747,15137.988583787706,14014.301626802542,13358.817673999294,14850.037657103994,14335.737607177167,15508.847338717544,13421.183426221953,15646.299397546036,14071.642025571722,13748.838104742155,14302.01102731204,14214.192426381836,13978.80711782586,14271.81078780994,13741.249858008543,14468.83151185938,15955.223660682266,14409.941637956448,13818.780670388685,13572.715176439282,14050.109692726312,13157.287961240427,14580.787707594724,16450.87502942414,15588.555137562615
